"UNIT INFORMATION, 776 Super Units Found & 418 Extreme Units Found",,,,BASE STATS,,,,,,,55% NO DUPES STATS,,,,,,,100% RAINBOW STATS,,,,,
Character,Class,Type,,bHP,4.25,bATK,3.26,bDEF,4.43,,_55HP,4.12,_55ATK,3.15,_55DEF,4.20,,_100HP,3.90,_100ATK,2.99,_100DEF,3.74
Observance of Pride Super Saiyan God SS Vegeta,Super,AGL,,"12,320",0.44,"10,052",0.03,"6,150",0.29,,"14,320",0.49,"12,052",0.11,"8,150",0.39,,"16,920",0.45,"15,052",0.16,"11,550",0.7
Power to Face Despair Super Saiyan Gohan (Future),Super,PHY,,"12,580",0.53,"9,636",-0.14,"6,540",0.52,,"14,580",0.57,"11,636",-0.05,"8,540",0.6,,"17,980",0.74,"14,636",0.02,"11,140",0.51
Hope-Filled Strike Super Full Power Saiyan 4 Goku,Super,TEQ,,"10,740",-0.06,"12,086",0.85,"5,148",-0.3,,"12,740",0.01,"14,086",0.88,"7,148",-0.16,,"15,340",0.01,"17,486",0.98,"10,148",0.05
Last-Ditch Battle Android #17,Super,PHY,,"10,110",-0.26,"10,832",0.34,"6,280",0.37,,"12,110",-0.18,"12,832",0.4,"8,280",0.46,,"15,510",0.06,"15,832",0.42,"10,880",0.39
Boiling Power Super Saiyan Goku,Super,AGL,,"10,605",-0.1,"11,978",0.8,"5,350",-0.18,,"12,605",-0.03,"13,978",0.84,"7,350",-0.05,,"15,205",-0.03,"16,978",0.81,"10,750",0.33
Glacial Prestige Freeza (1st Form),Extreme,TEQ,,"11,415",0.16,"11,870",0.76,"5,080",-0.34,,"13,415",0.22,"13,870",0.8,"7,080",-0.2,,"16,015",0.2,"17,270",0.91,"10,080",0.02
Shocking Absorption Ability Majin Buu (Evil),Extreme,STR,,"12,840",0.61,"10,936",0.38,"4,785",-0.52,,"14,840",0.65,"12,936",0.44,"6,785",-0.36,,"17,840",0.7,"16,336",0.59,"9,385",-0.3
Fusion with the Big Gete Star Metal Cooler,Extreme,AGL,,"9,460",-0.46,"10,416",0.17,"7,125",0.87,,"11,460",-0.37,"12,416",0.25,"9,125",0.92,,"14,060",-0.35,"15,416",0.28,"12,525",1.15
Epitome of Sublime Beauty Goku Black,Extreme,INT,,"12,970",0.65,"11,040",0.43,"4,590",-0.64,,"14,970",0.69,"13,040",0.48,"6,590",-0.47,,"17,970",0.74,"16,040",0.49,"9,590",-0.21
Endless Evolution of the Warrior Race Super Saiyan Broly,Extreme,PHY,,"12,225",0.41,"11,114",0.46,"5,620",-0.02,,"14,225",0.46,"13,114",0.51,"7,620",0.1,,"17,625",0.64,"16,114",0.52,"10,220",0.09
Transcendent Fusion Super Saiyan Gogeta,Super,AGL,,"11,145",0.07,"11,492",0.61,"5,688",0.02,,"13,145",0.14,"13,492",0.65,"7,688",0.14,,"15,745",0.12,"16,492",0.64,"11,088",0.49
All-Or-Nothing Punch Goku (Youth),Super,INT,,"10,630",-0.09,"10,884",0.36,"5,955",0.18,,"12,630",-0.02,"12,884",0.42,"7,955",0.28,,"15,630",0.09,"15,884",0.44,"10,955",0.43
Limitless Combat Power Super Saiyan Vegeta,Super,PHY,,"10,470",-0.14,"12,032",0.82,"5,350",-0.18,,"12,470",-0.07,"14,032",0.86,"7,350",-0.05,,"15,870",0.16,"17,032",0.83,"9,950",-0.04
Assassin's Ultimate Technique Hit,Extreme,TEQ,,"13,360",0.77,"11,196",0.49,"4,200",-0.87,,"15,360",0.8,"13,196",0.54,"6,200",-0.68,,"17,960",0.74,"16,596",0.68,"9,200",-0.39
True Power of a God Zamasu,Extreme,AGL,,"13,650",0.87,"11,720",0.7,"6,400",0.44,,"15,650",0.89,"13,720",0.74,"8,400",0.53,,"18,250",0.82,"16,720",0.72,"11,800",0.82
Resilient Will to Protect the Future Trunks (Teen) (Future),Super,TEQ,,"12,750",0.58,"11,600",0.65,"7,000",0.8,,"14,750",0.62,"13,600",0.7,"9,000",0.85,,"17,350",0.57,"17,000",0.81,"12,000",0.91
Pinnacle of Fury Goku,Super,STR,,"12,350",0.45,"11,388",0.57,"6,715",0.63,,"14,350",0.5,"13,388",0.62,"8,715",0.7,,"17,350",0.57,"16,788",0.74,"11,315",0.59
Kami and Demon King United Piccolo,Super,PHY,,"13,665",0.87,"11,156",0.47,"6,353",0.41,,"15,665",0.9,"13,156",0.53,"8,353",0.5,,"19,065",1.04,"16,156",0.53,"10,953",0.43
Heroic Warrior Gohan (Future),Super,INT,,"12,930",0.64,"12,664",1.08,"4,830",-0.49,,"14,930",0.67,"14,664",1.1,"6,830",-0.33,,"17,930",0.73,"17,664",1.04,"9,830",-0.1
Extreme Ultimate Power Cooler,Extreme,STR,,"12,785",0.59,"12,142",0.87,"5,555",-0.06,,"14,785",0.63,"14,142",0.9,"7,555",0.06,,"17,785",0.69,"17,542",1,"10,155",0.05
Foe Elimination Circuit Android #13,Extreme,AGL,,"13,075",0.68,"10,750",0.31,"7,150",0.89,,"15,075",0.72,"12,750",0.37,"9,150",0.94,,"17,675",0.66,"15,750",0.39,"12,550",1.17
Rousing Fighting Spirit Super Saiyan 2 Goku (Angel),Super,INT,,"11,850",0.3,"12,440",0.99,"6,400",0.44,,"13,850",0.35,"14,440",1.01,"8,400",0.53,,"16,850",0.43,"17,440",0.96,"11,400",0.63
Indomitable Fighting Spirit Super Saiyan 2 Vegeta,Super,TEQ,,"10,950",0.01,"12,500",1.01,"6,775",0.66,,"12,950",0.08,"14,500",1.04,"8,775",0.73,,"15,550",0.07,"17,900",1.12,"11,775",0.81
Hot-Blooded God of Destruction Beerus,Super,PHY,,"11,480",0.18,"12,026",0.82,"6,353",0.41,,"13,480",0.24,"14,026",0.86,"8,353",0.5,,"16,880",0.44,"17,026",0.82,"10,953",0.43
Raging Counterattack Bardock,Super,AGL,,"12,640",0.55,"11,794",0.73,"6,063",0.24,,"14,540",0.56,"13,794",0.77,"8,063",0.34,,"17,240",0.54,"16,794",0.75,"11,463",0.66
Final Super Power Super Saiyan God SS Goku (Kaioken),Super,STR,,"10,900",-0.01,"12,490",1.01,"6,063",0.24,,"12,900",0.06,"14,490",1.03,"8,063",0.34,,"15,900",0.17,"17,890",1.11,"10,663",0.29
Astounding Fusion Power Gotenks,Super,INT,,"11,400",0.15,"12,020",0.82,"7,150",0.89,,"13,400",0.21,"14,020",0.86,"9,150",0.94,,"16,400",0.3,"17,020",0.82,"12,150",0.98
Split Into Good and Evil Majin Buu (Good)/Majin Buu (Pure Evil),Extreme,TEQ,,"12,000",0.34,"11,540",0.63,"7,450",1.07,,"14,000",0.39,"13,540",0.67,"9,450",1.1,,"16,600",0.36,"16,940",0.79,"12,450",1.12
Transcendent Height Kefla,Super,STR,,"11,045",0.04,"11,736",0.71,"6,933",0.76,,"13,045",0.1,"13,736",0.75,"8,933",0.82,,"16,045",0.21,"17,136",0.86,"11,533",0.69
Power Beyond the Extremes Gohan (Teen),Super,TEQ,,"12,350",0.45,"11,968",0.8,"5,990",0.2,,"14,350",0.5,"13,968",0.84,"7,990",0.3,,"16,950",0.46,"17,368",0.94,"10,990",0.44
Evil Pride Freeza (Final Form) (Angel),Extreme,PHY,,"11,915",0.32,"12,084",0.85,"6,063",0.24,,"13,915",0.37,"14,084",0.88,"8,063",0.34,,"17,315",0.56,"17,084",0.84,"10,663",0.29
Peerless Super Power Super Saiyan 4 Gogeta,Super,INT,,"12,350",0.45,"12,780",1.13,"4,975",-0.41,,"14,350",0.5,"14,780",1.14,"6,975",-0.26,,"17,350",0.57,"17,780",1.08,"9,975",-0.03
Murderous Overlord Boujack,Extreme,STR,,"12,640",0.55,"10,402",0.17,"7,803",1.28,,"14,640",0.59,"12,402",0.24,"9,803",1.29,,"17,640",0.65,"15,802",0.41,"12,403",1.1
Otherworld in Collapse Janemba,Extreme,TEQ,,"13,050",0.68,"11,840",0.75,"6,550",0.53,,"15,050",0.71,"13,840",0.79,"8,550",0.61,,"17,650",0.65,"17,240",0.89,"11,550",0.7
Righteous Otherworld Defense Paikuhan,Super,AGL,,"12,600",0.53,"11,900",0.77,"6,700",0.62,,"14,600",0.57,"13,900",0.81,"8,700",0.69,,"17,200",0.53,"16,900",0.78,"12,100",0.96
Pint-Sized Super Warriors Super Saiyan Trunks (Kid) & Super Saiyan Goten (Kid),Super,PHY,,"12,495",0.5,"12,258",0.92,"5,555",-0.06,,"14,495",0.54,"14,258",0.95,"7,555",0.06,,"17,895",0.72,"17,258",0.9,"10,155",0.05
Instinctive Destruction Legendary Super Saiyan Broly,Extreme,INT,,"12,350",0.45,"11,910",0.78,"6,063",0.24,,"14,350",0.5,"13,910",0.81,"8,063",0.34,,"17,350",0.57,"16,910",0.78,"11,063",0.48
Ally of Love and Friendship Videl,Super,STR,,"16,555",1.78,"8,546",-0.58,"8,165",1.49,,"18,555",1.77,"10,546",-0.46,"10,165",1.49,,"21,555",1.74,"13,946",-0.21,"12,765",1.27
Battle to Become the Strongest Super Saiyan Goku (GT),Super,PHY,,"15,750",1.53,"10,220",0.1,"7,225",0.93,,"17,750",1.53,"12,220",0.17,"9,225",0.98,,"21,150",1.62,"15,220",0.22,"11,825",0.83
Battle to Reach the Top Super Saiyan Vegeta (GT),Super,INT,,"14,400",1.1,"9,800",-0.07,"8,425",1.65,,"16,400",1.12,"11,800",0.01,"10,425",1.64,,"19,400",1.14,"14,800",0.08,"13,425",1.57
The Power to Protect Gohan (Kid),Super,AGL,,"14,235",1.05,"10,924",0.38,"6,353",0.41,,"16,235",1.07,"12,924",0.44,"8,353",0.5,,"18,835",0.98,"15,924",0.45,"11,753",0.8
Tenacious Secret Plan Super Vegeta,Super,STR,,"11,770",0.27,"12,200",0.89,"5,990",0.2,,"13,770",0.32,"14,200",0.92,"7,990",0.3,,"16,770",0.41,"17,600",1.02,"10,590",0.26
Miracle of Frinedship Caulifla & Kale,Super,TEQ,,"12,640",0.55,"11,156",0.47,"6,860",0.71,,"14,640",0.59,"13,156",0.53,"8,860",0.78,,"17,240",0.54,"16,556",0.67,"11,860",0.85
Fate-Changing Messenger Trunks (Teen),Super,AGL,,"12,060",0.36,"12,374",0.96,"5,628",-0.02,,"14,060",0.41,"14,374",0.99,"7,628",0.1,,"16,660",0.38,"17,374",0.94,"11,028",0.46
Game of Death Androids #17 (Future) & #18 (Future),Extreme,TEQ,,"10,465",-0.14,"12,432",0.99,"6,353",0.41,,"12,465",-0.07,"14,432",1.01,"8,353",0.5,,"15,065",-0.07,"17,832",1.09,"11,353",0.61
Majin of Destruction Majin Buu (Pure),Extreme,STR,,"18,150",2.29,"10,460",0.19,"4,975",-0.41,,"20,150",2.25,"12,460",0.26,"6,975",-0.26,,"23,150",2.18,"15,860",0.43,"9,575",-0.21
Battle to Protect Tomorrow Super Saiyan 2 Goku,Super,PHY,,"13,800",0.91,"10,402",0.17,"7,223",0.93,,"15,800",0.94,"12,402",0.24,"9,223",0.98,,"19,200",1.08,"15,402",0.28,"11,823",0.83
Captain's Ace in the Hole Captain Ginyu,Extreme,AGL,,"14,655",1.18,"9,423",-0.22,"5,582",-0.05,,"16,655",1.2,"11,423",-0.13,"7,582",0.08,,"19,255",1.1,"14,423",-0.05,"10,982",0.44
Brief Paternal Moment Majin Vegeta,Extreme,INT,,"13,075",0.68,"10,460",0.19,"7,513",1.1,,"15,075",0.72,"12,460",0.26,"9,513",1.14,,"18,075",0.77,"15,460",0.3,"12,513",1.15
Unveiling of Power Raditz,Extreme,PHY,,"13,220",0.73,"11,098",0.45,"6,643",0.59,,"15,220",0.76,"13,098",0.51,"8,643",0.66,,"18,620",0.92,"16,098",0.51,"11,243",0.56
Ultimate Life Form with immense Power Cell (1st Form),Extreme,AGL,,"12,205",0.41,"11,910",0.78,"6,135",0.28,,"14,205",0.46,"13,910",0.81,"8,135",0.38,,"16,805",0.42,"16,910",0.78,"11,535",0.7
Warriors Entrusted with Earh's Fate Super Saiyan Goku/Super Saiyan Gohan (Youth),Super,STR,,"13,510",0.82,"12,084",0.85,"5,265",-0.23,,"15,510",0.85,"14,084",0.88,"7,265",-0.1,,"18,510",0.89,"17,484",0.98,"9,865",-0.08
Divine Combat Begins Super Saiyan God SS Goku/Super Saiyan God SS Vegeta,Super,INT,,"13,220",0.73,"10,460",0.19,"7,440",1.06,,"15,220",0.76,"12,460",0.26,"9,440",1.1,,"18,220",0.81,"15,460",0.3,"12,440",1.11
Stamina to Attack Evil Pan (GT),Super,TEQ,,"14,960",1.28,"9,300",-0.27,"8,020",1.41,,"16,960",1.29,"11,300",-0.18,"10,020",1.41,,"19,560",1.18,"14,700",0.04,"13,020",1.38
Quest for the Dragon Balls Goku (Youth),Super,PHY,,"13,655",0.87,"10,054",0.03,"7,730",1.23,,"15,655",0.89,"12,054",0.11,"9,730",1.25,,"19,055",1.04,"15,054",0.16,"12,330",1.06
Imperturbable Hero Gamma 1,Super,STR,,"13,075",0.68,"9,300",-0.27,"8,963",1.97,,"15,075",0.72,"11,300",-0.18,"10,963",1.93,,"18,075",0.77,"14,700",0.04,"13,563",1.64
Fearless Hero Gamma 2,Super,AGL,,"13,075",0.68,"10,170",0.08,"7,875",1.32,,"15,075",0.72,"12,170",0.15,"9,875",1.33,,"17,675",0.66,"15,170",0.2,"13,275",1.5
Battle Against the fate of Annihilation Bardock,Super,TEQ,,"14,235",1.05,"9,996",0.01,"7,513",1.1,,"16,235",1.07,"11,996",0.09,"9,513",1.14,,"18,835",0.98,"15,396",0.28,"12,513",1.15
Earth's Dominant Elite Yamcha,Super,INT,,"14,525",1.14,"10,866",0.36,"6,280",0.37,,"16,525",1.16,"12,866",0.42,"8,280",0.46,,"19,525",1.17,"15,866",0.43,"11,280",0.58
Evil-Stained Androids Android #17 & Hell Fighter #17,Extreme,STR,,"11,335",0.13,"11,156",0.47,"7,513",1.1,,"13,335",0.19,"13,156",0.53,"9,513",1.14,,"16,335",0.29,"16,556",0.67,"12,113",0.96
Fighter Entrusted with Allies' Wishes Super Saiyan God Goku,Super,PHY,,"11,045",0.04,"10,170",0.08,"8,890",1.92,,"13,045",0.1,"12,170",0.15,"10,890",1.89,,"16,445",0.32,"15,170",0.2,"13,490",1.6
The Power of Strong Thoughts Kale (Berserk),Super,AGL,,"11,190",0.09,"12,548",1.03,"5,845",0.11,,"13,190",0.15,"14,548",1.06,"7,845",0.22,,"15,790",0.14,"17,548",1,"11,245",0.56
Showdown for the World's Strongest Goku,Super,TEQ,,"12,900",0.63,"9,980",0,"8,950",1.96,,"14,900",0.67,"11,980",0.08,"10,950",1.92,,"17,500",0.61,"15,380",0.27,"13,950",1.82
Death Match for World Domination Piccolo Jr. (Giant Form),Extreme,INT,,"11,850",0.3,"10,820",0.34,"8,425",1.65,,"13,850",0.35,"12,820",0.4,"10,425",1.64,,"16,850",0.43,"15,820",0.42,"13,425",1.57
Evil Warrior with Forbidden Power Turles,Extreme,PHY,,"15,685",1.51,"8,256",-0.69,"8,963",1.97,,"17,685",1.51,"10,256",-0.57,"10,963",1.93,,"21,085",1.61,"13,256",-0.44,"13,563",1.64
Super Power Counterattack Super Saiyan Trunks (Teen),Super,TEQ,,"9,450",-0.46,"13,998",1.62,"4,903",-0.45,,"11,450",-0.38,"15,998",1.6,"6,903",-0.29,,"14,050",-0.35,"19,398",1.62,"9,903",-0.06
Spark-Born Struggle for Survival Androids #17 & #18,Super,INT,,"19,745",2.79,"9,300",-0.27,"5,628",-0.02,,"21,745",2.73,"11,300",-0.18,"7,628",0.1,,"24,745",2.62,"14,300",-0.09,"10,628",0.27
A Fierce Defensive Battle Piccolo & Gohan (Kid)/Gohan (Kid),Super,STR,,"13,945",0.96,"10,518",0.22,"7,005",0.8,,"15,945",0.98,"12,518",0.29,"9,005",0.86,,"18,945",1.01,"15,918",0.45,"11,605",0.73
Genius Scientist's Courage and Resolve Android #21 (Normal),Super,AGL,,"14,670",1.19,"9,822",-0.06,"7,513",1.1,,"16,670",1.2,"11,822",0.02,"9,513",1.14,,"19,270",1.1,"14,822",0.08,"12,913",1.33
The Phantom Majin of Fear Hirudegarn,Extreme,INT,,"12,750",0.58,"10,400",0.17,"8,500",1.69,,"14,750",0.62,"12,400",0.24,"10,500",1.68,,"17,750",0.68,"15,400",0.28,"13,500",1.61
Explosive Signature Move Super Saiyan 3 Goku,Super,STR,,"12,750",0.58,"10,700",0.29,"8,125",1.47,,"14,750",0.62,"12,700",0.35,"10,125",1.47,,"17,750",0.68,"16,100",0.51,"12,725",1.25
EZA_Mystery Super Technique Super Saiyan 3 Goku,Super,AGL,,"12,527",0.51,"11,111",0.45,"5,796",0.08,,"15,327",0.79,"13,911",0.81,"8,596",0.63,,"18,967",1.02,"18,111",1.19,"13,356",1.54
EZA_Super Warrior of Destruction Legendary Super Saiyan Broly,Extreme,STR,,"12,785",0.59,"11,987",0.81,"5,769",0.07,,"15,585",0.87,"14,787",1.15,"8,569",0.62,,"19,785",1.24,"19,547",1.67,"12,209",1.01
